ticket,open_time,type,size,item,open_px,sl,tp,close_time,close_px,commission,taxes,swap,profit
42796950,2026.05.28 05:36:12,sell,0.01,xauusd,4406.75,0.00,4403.75,2026.05.28 05:42:55,4403.75,0.00,0.00,0.00,3.00
42797045,2026.05.28 05:42:54,buy,0.02,xauusd,4403.78,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,-10.14
42797091,2026.05.28 05:42:56,sell,0.01,xauusd,4403.51,0.00,4400.51,2026.05.28 05:45:44,4400.51,0.00,0.00,0.00,3.00
42797222,2026.05.28 05:45:44,buy,0.03,xauusd,4400.57,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,-5.58
42797237,2026.05.28 05:45:45,sell,0.01,xauusd,4400.34,0.00,4397.34,2026.05.28 05:45:57,4397.34,0.00,0.00,0.00,3.00
42797326,2026.05.28 05:45:57,buy,0.05,xauusd,4396.43,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,11.40
42797353,2026.05.28 05:45:58,sell,0.01,xauusd,4396.03,0.00,4396.63,2026.05.28 05:49:39,4396.63,0.00,0.00,0.00,-0.60
42797573,2026.05.28 05:49:25,sell,0.02,xauusd,4399.18,0.00,4396.63,2026.05.28 05:49:39,4396.63,0.00,0.00,0.00,5.10
42797583,2026.05.28 05:49:40,sell,0.01,xauusd,4396.21,0.00,4393.21,2026.05.28 05:56:00,4393.21,0.00,0.00,0.00,3.00
42797749,2026.05.28 05:55:59,buy,0.08,xauusd,4393.38,0.00,4398.71,2026.05.28 05:56:46,4398.71,0.00,0.00,0.00,42.64
42797771,2026.05.28 05:56:02,sell,0.01,xauusd,4393.19,0.00,4394.10,2026.05.28 05:59:52,4394.10,0.00,0.00,0.00,-0.91
42797796,2026.05.28 05:56:34,sell,0.02,xauusd,4396.80,0.00,4394.10,2026.05.28 05:59:52,4394.10,0.00,0.00,0.00,5.40
42797821,2026.05.28 05:56:47,buy,0.01,xauusd,4399.16,0.00,4396.46,2026.05.28 06:06:38,4396.46,0.00,0.00,0.00,-2.70
42797841,2026.05.28 05:57:52,buy,0.02,xauusd,4396.15,0.00,4396.46,2026.05.28 06:06:38,4396.46,0.00,0.00,0.00,0.62
42797882,2026.05.28 05:59:52,sell,0.01,xauusd,4394.09,0.00,4391.09,2026.05.28 06:02:08,4391.09,0.00,0.00,0.00,3.00
42797952,2026.05.28 06:01:41,buy,0.02,xauusd,4392.93,0.00,4396.46,2026.05.28 06:06:38,4396.46,0.00,0.00,0.00,7.06
42798037,2026.05.28 06:02:08,sell,0.01,xauusd,4390.36,0.00,4393.04,2026.05.28 06:12:02,4393.04,0.00,0.00,0.00,-2.68
